"Pr.SPAM","Pr.HAM","Class","Type"
0,0,FALSE,"EASYHAM"
1.6810361102555e-241,2.73362302792278e-145,FALSE,"EASYHAM"
0,9.31308465708005e-226,FALSE,"EASYHAM"
0,0,FALSE,"EASYHAM"
2.36681253830417e-165,1.52954299156707e-108,FALSE,"EASYHAM"
0,0,FALSE,"EASYHAM"
3.74338463838997e-250,6.10178988700553e-132,FALSE,"EASYHAM"
0,6.30582518178434e-303,FALSE,"EASYHAM"
5.31600896360695e-290,2.81450282146093e-183,FALSE,"EASYHAM"
8.00745008735267e-135,1.41403054876205e-74,FALSE,"EASYHAM"
3.81979388163174e-49,2.29132367337678e-24,FALSE,"EASYHAM"
1.16414952915193e-245,7.55831915821374e-147,FALSE,"EASYHAM"
1.70722096570337e-52,1.13221539086141e-37,FALSE,"EASYHAM"
0,7.41296801225145e-307,FALSE,"EASYHAM"
3.23708431601187e-213,1.55997937804299e-181,FALSE,"EASYHAM"
0,7.41296801225145e-307,FALSE,"EASYHAM"
0,7.02872492681354e-249,FALSE,"EASYHAM"
7.51301048886601e-130,2.4861730764559e-101,FALSE,"EASYHAM"
3.49087900680179e-54,2.25867033208625e-43,FALSE,"EASYHAM"
3.38657302653498e-303,2.83382631511013e-228,FALSE,"EASYHAM"
1.7726150110113e-133,1.26131714503577e-104,FALSE,"EASYHAM"
1.17336051166809e-223,1.29279832607178e-159,FALSE,"EASYHAM"
1.39830188536006e-202,4.53442573111679e-116,FALSE,"EASYHAM"
2.08101840711624e-143,1.17181594094267e-114,FALSE,"EASYHAM"
1.85509943207009e-248,2.19719255087235e-184,FALSE,"EASYHAM"
1.81146775312641e-193,9.88488616005991e-150,FALSE,"EASYHAM"
1.59278382075074e-272,3.49680403343931e-242,FALSE,"EASYHAM"
1.93123216960728e-202,1.55747473040416e-173,FALSE,"EASYHAM"
1.43203308172035e-197,3.36850859726846e-167,FALSE,"EASYHAM"
1.28045623224773e-218,5.6805782006337e-160,FALSE,"EASYHAM"
6.66182542599647e-126,9.42449734975994e-79,FALSE,"EASYHAM"
0,2.36758197739163e-275,FALSE,"EASYHAM"
1.39134320000509e-115,8.13172769093411e-90,FALSE,"EASYHAM"
4.19204534529148e-183,1.27749775532084e-139,FALSE,"EASYHAM"
3.88112745336245e-212,3.04348538415208e-151,FALSE,"EASYHAM"
1.69858413272084e-268,1.69831183475518e-205,FALSE,"EASYHAM"
2.91143007970315e-139,1.61386575701574e-104,FALSE,"EASYHAM"
2.44169864265616e-191,4.18472095318521e-149,FALSE,"EASYHAM"
2.24682792462053e-205,7.4722526421657e-136,FALSE,"EASYHAM"
4.62123434498363e-148,2.53060756730265e-111,FALSE,"EASYHAM"
1.30986671953096e-19,1.04156035069843e-21,TRUE,"EASYHAM"
0,0,FALSE,"EASYHAM"
5.55628610862002e-192,5.71179693243366e-158,FALSE,"EASYHAM"
4.67906221517757e-154,3.27510867938795e-111,FALSE,"EASYHAM"
0,0,FALSE,"EASYHAM"
1.40193311125858e-192,5.58844551501703e-145,FALSE,"EASYHAM"
0,0,FALSE,"EASYHAM"
6.1404816383874e-86,2.5747682627876e-84,FALSE,"EASYHAM"
1.534998982139e-205,3.19246086638763e-170,FALSE,"EASYHAM"
1.22186585087559e-96,1.3254616582271e-91,FALSE,"EASYHAM"
1.21809892053505e-162,6.27453323452023e-117,FALSE,"EASYHAM"
1.41588017377567e-147,3.66789365476584e-132,FALSE,"EASYHAM"
4.69376828697348e-89,3.74982195577329e-83,FALSE,"EASYHAM"
3.16828806104572e-164,4.86800398884185e-141,FALSE,"EASYHAM"
0,0,FALSE,"EASYHAM"
0,0,FALSE,"EASYHAM"
4.94915407103913e-55,1.77863051077485e-41,FALSE,"EASYHAM"
1.85563187607252e-110,4.19964238706037e-83,FALSE,"EASYHAM"
4.68153654750583e-142,4.62920565767189e-100,FALSE,"EASYHAM"
0,2.06341635980464e-306,FALSE,"EASYHAM"
1.00771864505146e-190,2.1535078535713e-145,FALSE,"EASYHAM"
8.18544190014844e-197,2.79423136448433e-160,FALSE,"EASYHAM"
2.2082650380969e-190,5.56459614678732e-149,FALSE,"EASYHAM"
3.0378914436312e-227,8.31692457642993e-185,FALSE,"EASYHAM"
0,7.12545787625334e-316,FALSE,"EASYHAM"
6.22198856569515e-63,1.19520020319001e-40,FALSE,"EASYHAM"
2.30489652765059e-139,4.56733817947162e-115,FALSE,"EASYHAM"
5.39281368427535e-82,3.8080286207234e-61,FALSE,"EASYHAM"
2.4493645502538e-191,3.46473289605079e-153,FALSE,"EASYHAM"
4.95771734747194e-138,1.40800114485196e-106,FALSE,"EASYHAM"
1.91627076451217e-150,4.43667153458122e-114,FALSE,"EASYHAM"
0,7.83935924518267e-255,FALSE,"EASYHAM"
0,1.24467770744325e-305,FALSE,"EASYHAM"
9.48519349546587e-126,1.52827616974351e-109,FALSE,"EASYHAM"
8.70675663789384e-208,1.85110364729723e-154,FALSE,"EASYHAM"
3.16761720337885e-111,6.43393969512225e-89,FALSE,"EASYHAM"
0,4.94090612885506e-302,FALSE,"EASYHAM"
1.08304494566227e-236,3.19539455566891e-172,FALSE,"EASYHAM"
3.47816002991109e-198,3.37176865602667e-132,FALSE,"EASYHAM"
4.3023718478533e-102,1.09582249406533e-75,FALSE,"EASYHAM"
4.46434766641701e-214,4.94945029596638e-164,FALSE,"EASYHAM"
7.13301092769335e-258,5.8257021033503e-192,FALSE,"EASYHAM"
1.36141032387895e-97,1.64602024403799e-74,FALSE,"EASYHAM"
4.23365422465468e-248,4.23442496980273e-205,FALSE,"EASYHAM"
0,6.19283317437285e-255,FALSE,"EASYHAM"
5.98770726840366e-233,3.78347388736497e-176,FALSE,"EASYHAM"
1.67553964669042e-198,7.87694555120529e-165,FALSE,"EASYHAM"
2.39366133542656e-253,4.84279277748832e-218,FALSE,"EASYHAM"
1.64919005879976e-47,1.05498615579259e-46,FALSE,"EASYHAM"
5.63758683965767e-95,3.32729863089224e-71,FALSE,"EASYHAM"
1.74609630628614e-172,3.4024394297358e-127,FALSE,"EASYHAM"
2.67382235370044e-201,1.35749869523925e-151,FALSE,"EASYHAM"
1.77202569364413e-187,3.13908683275679e-153,FALSE,"EASYHAM"
7.72025790268227e-222,9.18312238001301e-188,FALSE,"EASYHAM"
4.64061538136189e-288,6.58408882683725e-216,FALSE,"EASYHAM"
8.69371099189732e-232,3.0161176123201e-169,FALSE,"EASYHAM"
2.07641363720049e-251,1.12561441445214e-177,FALSE,"EASYHAM"
8.61569929022003e-269,7.31455053994272e-189,FALSE,"EASYHAM"
