"","timebyday","hour","season","pm2.5","cbwd","Iws","Is","Ir","DEWP","TEMP","PRES","quality","timestamp","cbwd_data"
"1",2013-01-01,0,1,35,"NW",5.81,0,0,-10,-5,1018,"good",15706,1
"2",2013-01-01,1,1,31,"NW",9.83,0,0,-11,-7,1017,"good",15706,1
"3",2013-01-01,2,1,32,"NW",11.62,0,0,-11,-7,1017,"good",15706,1
"4",2013-01-01,3,1,21,"NW",14.75,0,0,-14,-10,1018,"good",15706,1
"5",2013-01-01,4,1,16,"cv",0.45,0,0,-15,-10,1018,"good",15706,2
"6",2013-01-01,5,1,15,"NW",3.13,0,0,-15,-12,1019,"good",15706,1
"7",2013-01-01,6,1,9,"cv",0.89,0,0,-15,-11,1020,"good",15706,2
"8",2013-01-01,7,1,9,"NW",4.92,0,0,-16,-6,1020,"good",15706,1
"9",2013-01-01,8,1,7,"NW",8.94,0,0,-18,-6,1021,"good",15706,1
"10",2013-01-01,9,1,14,"NW",13.86,0,0,-19,-5,1022,"good",15706,1
"11",2013-01-01,10,1,11,"NW",21.01,0,0,-22,-3,1023,"good",15706,1
"12",2013-01-01,11,1,9,"NW",29.95,0,0,-22,-3,1024,"good",15706,1
"13",2013-01-01,12,1,10,"NW",38,0,0,-23,-3,1023,"good",15706,1
"14",2013-01-01,13,1,16,"NW",46.05,0,0,-23,-4,1023,"good",15706,1
"15",2013-01-01,14,1,17,"NW",54.1,0,0,-23,-4,1024,"good",15706,1
"16",2013-01-01,15,1,15,"NW",63.04,0,0,-25,-5,1025,"good",15706,1
"17",2013-01-01,16,1,13,"NW",71.09,0,0,-25,-6,1026,"good",15706,1
"18",2013-01-01,17,1,16,"NW",79.14,0,0,-25,-7,1027,"good",15706,1
"19",2013-01-01,18,1,15,"NW",87.19,0,0,-27,-8,1028,"good",15706,1
"20",2013-01-01,19,1,20,"NW",96.13,0,0,-26,-9,1029,"good",15706,1
"21",2013-01-01,20,1,17,"NW",103.28,0,0,-26,-10,1030,"good",15706,1
"22",2013-01-01,21,1,16,"NW",111.33,0,0,-27,-10,1031,"good",15706,1
"23",2013-01-01,22,1,19,"NW",118.48,0,0,-27,-11,1032,"good",15706,1
"24",2013-01-01,23,1,13,"NW",126.53,0,0,-28,-11,1033,"good",15706,1
"25",2013-01-02,0,1,19,"NW",134.58,0,0,-28,-12,1033,"good",15707,1
"26",2013-01-02,1,1,15,"NW",141.73,0,0,-28,-12,1033,"good",15707,1
"27",2013-01-02,2,1,19,"NW",148.88,0,0,-28,-12,1034,"good",15707,1
"28",2013-01-02,3,1,16,"NW",156.03,0,0,-28,-12,1035,"good",15707,1
"29",2013-01-02,4,1,17,"NW",163.18,0,0,-28,-12,1035,"good",15707,1
"30",2013-01-02,5,1,17,"NW",168.99,0,0,-28,-13,1036,"good",15707,1
"31",2013-01-02,6,1,17,"NW",177.04,0,0,-28,-13,1036,"good",15707,1
"32",2013-01-02,7,1,15,"NW",185.09,0,0,-28,-13,1036,"good",15707,1
"33",2013-01-02,8,1,13,"NW",194.03,0,0,-27,-12,1037,"good",15707,1
"34",2013-01-02,9,1,15,"NW",202.08,0,0,-27,-11,1039,"good",15707,1
"35",2013-01-02,10,1,15,"NW",213.26,0,0,-28,-10,1040,"good",15707,1
"36",2013-01-02,11,1,16,"NW",223.09,0,0,-28,-9,1041,"good",15707,1
"37",2013-01-02,12,1,13,"NW",234.27,0,0,-29,-9,1041,"good",15707,1
"38",2013-01-02,13,1,19,"NW",245.45,0,0,-28,-8,1040,"good",15707,1
"39",2013-01-02,14,1,20,"NW",256.63,0,0,-27,-8,1040,"good",15707,1
"40",2013-01-02,15,1,19,"NW",267.81,0,0,-27,-8,1040,"good",15707,1
"41",2013-01-02,16,1,19,"NW",277.64,0,0,-27,-8,1041,"good",15707,1
"42",2013-01-02,17,1,25,"NW",287.47,0,0,-27,-8,1042,"good",15707,1
"43",2013-01-02,18,1,22,"NW",296.41,0,0,-26,-10,1043,"good",15707,1
"44",2013-01-02,19,1,25,"NW",306.24,0,0,-26,-10,1044,"good",15707,1
