"","timebyday","year","month","day","hour","season","pm2.5","cbwd","Iws","Is","Ir","DEWP","TEMP","PRES","quality"
"1","2013-1-1",2013,1,1,0,1,35,"NW",5.81,0,0,-10,-5,1018,"good"
"2","2013-1-1",2013,1,1,1,1,31,"NW",9.83,0,0,-11,-7,1017,"good"
"3","2013-1-1",2013,1,1,2,1,32,"NW",11.62,0,0,-11,-7,1017,"good"
"4","2013-1-1",2013,1,1,3,1,21,"NW",14.75,0,0,-14,-10,1018,"good"
"5","2013-1-1",2013,1,1,4,1,16,"cv",0.45,0,0,-15,-10,1018,"good"
"6","2013-1-1",2013,1,1,5,1,15,"NW",3.13,0,0,-15,-12,1019,"good"
"7","2013-1-1",2013,1,1,6,1,9,"cv",0.89,0,0,-15,-11,1020,"good"
"8","2013-1-1",2013,1,1,7,1,9,"NW",4.92,0,0,-16,-6,1020,"good"
"9","2013-1-1",2013,1,1,8,1,7,"NW",8.94,0,0,-18,-6,1021,"good"
"10","2013-1-1",2013,1,1,9,1,14,"NW",13.86,0,0,-19,-5,1022,"good"
"11","2013-1-1",2013,1,1,10,1,11,"NW",21.01,0,0,-22,-3,1023,"good"
"12","2013-1-1",2013,1,1,11,1,9,"NW",29.95,0,0,-22,-3,1024,"good"
"13","2013-1-1",2013,1,1,12,1,10,"NW",38,0,0,-23,-3,1023,"good"
"14","2013-1-1",2013,1,1,13,1,16,"NW",46.05,0,0,-23,-4,1023,"good"
"15","2013-1-1",2013,1,1,14,1,17,"NW",54.1,0,0,-23,-4,1024,"good"
"16","2013-1-1",2013,1,1,15,1,15,"NW",63.04,0,0,-25,-5,1025,"good"
"17","2013-1-1",2013,1,1,16,1,13,"NW",71.09,0,0,-25,-6,1026,"good"
"18","2013-1-1",2013,1,1,17,1,16,"NW",79.14,0,0,-25,-7,1027,"good"
"19","2013-1-1",2013,1,1,18,1,15,"NW",87.19,0,0,-27,-8,1028,"good"
"20","2013-1-1",2013,1,1,19,1,20,"NW",96.13,0,0,-26,-9,1029,"good"
"21","2013-1-1",2013,1,1,20,1,17,"NW",103.28,0,0,-26,-10,1030,"good"
"22","2013-1-1",2013,1,1,21,1,16,"NW",111.33,0,0,-27,-10,1031,"good"
