"","year","month","day","pm2.5","DEWP","TEMP","PRES","Iws","Is","Ir"
"year1_month1_day1",2010,1,1,129,-18.75,-6.75,1017.08333333333,14.4583333333333,0,0
"year1_month1_day2",2010,1,2,145.958333333333,-8.5,-5.125,1024.75,24.86,0.708333333333333,0
"year1_month1_day3",2010,1,3,78.8333333333333,-10.125,-8.54166666666667,1022.79166666667,70.9379166666667,14.1666666666667,0
"year1_month1_day4",2010,1,4,31.3333333333333,-20.875,-11.5,1029.29166666667,111.160833333333,0,0
"year1_month1_day5",2010,1,5,42.4583333333333,-24.5833333333333,-14.4583333333333,1033.625,56.92,0,0
"year1_month1_day6",2010,1,6,56.4166666666667,-23.7083333333333,-12.5416666666667,1033.75,18.5116666666667,0,0
"year1_month1_day7",2010,1,7,69,-21.25,-12.5,1034.08333333333,10.17,0,0
"year1_month1_day8",2010,1,8,176.208333333333,-17.125,-11.7083333333333,1028,1.97291666666667,0,0
"year1_month1_day9",2010,1,9,88.5,-16.3333333333333,-9.125,1029.04166666667,13.29875,0,0
"year1_month1_day10",2010,1,10,57.25,-15.9583333333333,-8.75,1032.5,17.4158333333333,0,0
"year1_month1_day11",2010,1,11,20,-20.7083333333333,-8.70833333333333,1034.33333333333,41.6858333333333,0,0
"year1_month1_day12",2010,1,12,20.75,-23.5416666666667,-12.4166666666667,1030.70833333333,60.3783333333333,0,0
"year1_month1_day13",2010,1,13,40.2083333333333,-21.9583333333333,-10,1030.45833333333,169.754166666667,0,0
"year1_month1_day14",2010,1,14,93.7083333333333,-17.625,-9.5,1025.20833333333,13.23875,0,0
"year1_month1_day15",2010,1,15,45.4583333333333,-17.1666666666667,-7.04166666666667,1036.83333333333,12.3816666666667,0,0
"year1_month1_day16",2010,1,16,177.625,-13.5,-8.41666666666667,1033.04166666667,2.67791666666667,0,0
"year1_month1_day17",2010,1,17,209.208333333333,-12.0833333333333,-7.25,1028.83333333333,4.13458333333333,0,0
"year1_month1_day18",2010,1,18,260.208333333333,-9.66666666666667,-4.91666666666667,1026.75,4.91625,0,0
"year1_month1_day19",2010,1,19,340.75,-3.79166666666667,0.291666666666667,1020.66666666667,4.78833333333333,0,0
"year1_month1_day20",2010,1,20,85.3333333333333,-11.0416666666667,-1.16666666666667,1030.20833333333,34.48125,0,0
"year1_month1_day21",2010,1,21,27.0416666666667,-21.1666666666667,-6.125,1036.375,59.0708333333333,0,0
"year1_month1_day22",2010,1,22,29.4166666666667,-18.7916666666667,-4.58333333333333,1034.375,93.0620833333333,0,0
"year1_month1_day23",2010,1,23,23.9656862745098,-17.7083333333333,-1.91666666666667,1028,43.8920833333333,0,0
"year1_month1_day24",2010,1,24,40.9264705882353,-17.25,-3.41666666666667,1021.41666666667,31.6958333333333,0,0
"year1_month1_day25",2010,1,25,64.2205882352941,-21.875,-3.04166666666667,1032.5,146.202083333333,0,0
"year1_month1_day26",2010,1,26,138.637254901961,-15.375,-5.66666666666667,1024.70833333333,3.14666666666667,0,0
"year1_month1_day27",2010,1,27,122.333333333333,-11.7083333333333,1.125,1016.20833333333,24.7070833333333,0,0
"year1_month1_day28",2010,1,28,21.1666666666667,-19.125,-1.20833333333333,1026.16666666667,41.2725,0,0
"year1_month1_day29",2010,1,29,23.875,-21.625,0.625,1022.83333333333,44.3283333333333,0,0
